Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,3.817685646776964E7,2.619387939000056E-8,0.29999609225697055,437.0,3.817684846776964E7,6.267187139074148E14
1,3.817685246776964E7,2.6193882134478115E-8,0.05717805653355404,437.0,3.817684846776964E7,3.0668904371158125E14
2,1.0121273730250377E7,9.880178402935836E-8,0.09462222575156537,27872.0,1.0121272730250377E7,1.333497226350383E14
3,1.0121273730250377E7,9.880178402935836E-8,0.054996654920306656,27872.0,1.0121272730250377E7,2.3334133523362784E14
4,1.0121273730250377E7,9.880178402935836E-8,0.03693649349791329,27872.0,1.0121272730250377E7,2.7333988327894288E14
5,9285752.998424122,1.0769184712083792E-7,0.027368533550949682,67.0,9285732.998424122,2.800037101572422E14
6,1043414.4656059658,9.583910081486551E-7,0.1315064505566649,334.0,1043402.4656059658,1.8000510837732838E14
7,1039314.9346334132,9.621713346988366E-7,0.0955427732116961,25049.0,1039301.9346334132,1.7334181670300278E14
8,1039314.9346334132,9.621713346988366E-7,0.10749263462728229,25049.0,1039301.9346334132,1.9334210197090738E14
9,862924.0704083078,1.1588491681286218E-6,0.07965534803016237,8060.0,862906.0704083078,1.7334236042491562E14
10,862924.0704083078,1.1588491681286218E-6,0.06260816488636163,8060.0,862906.0704083078,1.533388185684936E14
11,862897.0644078383,1.1588854364695412E-6,0.04228280378499504,1142.0,862882.0644078383,1.2703435519799178E14
12,862897.0644078383,1.1588854364695412E-6,0.030660165632140603,1142.0,862882.0644078383,1.2667291990507562E14
13,862897.0644078383,1.1588854364695412E-6,0.026821623279511052,1142.0,862882.0644078383,2.5013727337668203E14
14,862765.1683007685,1.1590626020599715E-6,0.017155429343286573,673.0,862734.1683007685,2.3446409047034403E14
15,862765.1683007685,1.1590626020599715E-6,0.0172001305605799,673.0,862734.1683007685,2.8679605234296375E14
16,514243.0916073099,1.9446018268764593E-6,0.023662365304499,25062.0,514238.0916073099,1.66792462036543E14
17,514243.0916073099,1.9446018268764593E-6,0.025564327268393777,25062.0,514238.0916073099,1.0668155041124658E14
18,514243.0916073099,1.9446018268764593E-6,0.021254362657499352,25062.0,514238.0916073099,1.9333800894132228E14
19,514243.0916073099,1.9446018268764593E-6,0.025222862075942494,25062.0,514238.0916073099,1.733434705079849E14
20,514243.0916073099,1.9446018268764593E-6,0.02451338941009793,25062.0,514238.0916073099,3.333393663154219E14
21,514243.0916073099,1.9446018268764593E-6,0.021277652001654192,25062.0,514238.0916073099,2.6667495683440972E14
22,514243.0916073099,1.9446018268764593E-6,0.020478450515550774,25062.0,514238.0916073099,3.5334634799994675E14
23,514243.0916073099,1.9446018268764593E-6,0.02195461519100174,25062.0,514238.0916073099,3.200106967925078E14
24,514243.0916073099,1.9446018268764593E-6,0.022256148265879194,25062.0,514238.0916073099,2.4668025854898122E14
25,514243.0916073099,1.9446018268764593E-6,0.024225440428038016,25062.0,514238.0916073099,1.8667806342279053E14
26,514243.0916073099,1.9446018268764593E-6,0.02350222314501196,25062.0,514238.0916073099,1.7335480702216516E14
27,514243.0916073099,1.9446018268764593E-6,0.022400893283347698,25062.0,514238.0916073099,2.7335088921781066E14
28,514243.0916073099,1.9446018268764593E-6,0.01727494316599387,25062.0,514238.0916073099,1.53343272861014E14
29,514243.0916073099,1.9446018268764593E-6,0.022405116979438384,25062.0,514238.0916073099,3.200114153087675E14
30,514243.0916073099,1.9446018268764593E-6,0.019025768045171622,25062.0,514238.0916073099,2.1334396974662222E14
31,514243.0916073099,1.9446018268764593E-6,0.019708638180575153,25062.0,514238.0916073099,2.2001384066101328E14
32,514243.0916073099,1.9446018268764593E-6,0.02213465926255259,25062.0,514238.0916073099,2.466802402632793E14
33,514134.6962998921,1.945011807576781E-6,0.02313202028180541,291.0,514125.6962998921,2.2001304731156594E14
34,514134.6962998921,1.945011807576781E-6,0.023116980941580424,291.0,514125.6962998921,1.93342912292047E14
35,514134.6962998921,1.945011807576781E-6,0.021602846693154352,291.0,514125.6962998921,2.0003088105569753E14
36,514134.6962998921,1.945011807576781E-6,0.024570052881652815,291.0,514125.6962998921,1.933496463657532E14
37,514134.6962998921,1.945011807576781E-6,0.023897239199747868,291.0,514125.6962998921,1.2674694119191544E14
38,514134.6962998921,1.945011807576781E-6,0.02495079784560495,291.0,514125.6962998921,1.8667669725434194E14
39,514134.6962998921,1.945011807576781E-6,0.021903726528634752,291.0,514125.6962998921,1.6668184058970066E14
40,514134.6962998921,1.945011807576781E-6,0.019820387700599032,291.0,514125.6962998921,2.2813515791427262E14
41,513624.7424858491,1.9469429144267453E-6,0.019501062311793597,1493.0,513614.7424858491,2.5333940839825328E14
42,513624.7424858491,1.9469429144267453E-6,0.0185026811498034,1493.0,513614.7424858491,2.1334216027041172E14
43,513624.7424858491,1.9469429144267453E-6,0.01701202901738632,1493.0,513614.7424858491,1.4001240369665502E14
44,513624.7424858491,1.9469429144267453E-6,0.017287989847522483,1493.0,513614.7424858491,1.0001553282118889E14
45,513624.7424858491,1.9469429144267453E-6,0.016776764190720012,1493.0,513614.7424858491,1.933413903457652E14
46,513624.7424858491,1.9469429144267453E-6,0.014936317750813026,1493.0,513614.7424858491,1.4001099890839808E14
47,513624.7424858491,1.9469429144267453E-6,0.013438153588007656,1493.0,513614.7424858491,7.369923130487692E13
48,513624.7424858491,1.9469429144267453E-6,0.013434356346192956,1493.0,513614.7424858491,1.8017844853776362E14
49,513624.7424858491,1.9469429144267453E-6,0.012721643824455287,1493.0,513614.7424858491,1.4000807673522472E14
50,513624.7424858491,1.9469429144267453E-6,0.011343059697992592,1493.0,513614.7424858491,1.6000705152664972E14
51,513624.7424858491,1.9469429144267453E-6,0.013706313015123426,1493.0,513614.7424858491,1.8002037644936753E14
52,513624.7424858491,1.9469429144267453E-6,0.012330456173179571,1493.0,513614.7424858491,1.733438497575781E14
53,513624.7424858491,1.9469429144267453E-6,0.01248327539701152,1493.0,513614.7424858491,1.5335029353272097E14
54,513624.7424858491,1.9469429144267453E-6,0.015285458356354071,1493.0,513614.7424858491,2.200115811762212E14
55,513624.7424858491,1.9469429144267453E-6,0.01748421935368066,1493.0,513614.7424858491,2.3337965608041738E14
56,513624.7424858491,1.9469429144267453E-6,0.016321035569427367,1493.0,513614.7424858491,2.400230279613657E14
57,513624.7424858491,1.9469429144267453E-6,0.013336492416791773,1493.0,513614.7424858491,1.676942405597959E14
58,513624.7424858491,1.9469429144267453E-6,0.01212777740585087,1493.0,513614.7424858491,2.003549044091845E14
59,513624.7424858491,1.9469429144267453E-6,0.011649419738027314,1493.0,513614.7424858491,2.0000563350236916E14
60,513624.7424858491,1.9469429144267453E-6,0.013612928845703249,1493.0,513614.7424858491,1.8000755669743522E14
61,513624.7424858491,1.9469429144267453E-6,0.014006598057551847,1493.0,513614.7424858491,1.733446019789863E14
62,513624.7424858491,1.9469429144267453E-6,0.015394875553667644,1493.0,513614.7424858491,1.9334684374740684E14
63,513624.7424858491,1.9469429144267453E-6,0.013670091882737932,1493.0,513614.7424858491,1.533449643740754E14
64,513624.7424858491,1.9469429144267453E-6,0.015608886765854747,1493.0,513614.7424858491,2.5334535970251466E14
65,513624.7424858491,1.9469429144267453E-6,0.013156404325266314,1493.0,513614.7424858491,1.866759431422351E14
66,513624.7424858491,1.9469429144267453E-6,0.015386485456624676,1493.0,513614.7424858491,1.466845045026732E14
67,513624.7424858491,1.9469429144267453E-6,0.014721962701812794,1493.0,513614.7424858491,1.533479437777432E14
68,513624.7424858491,1.9469429144267453E-6,0.013632429062008499,1493.0,513614.7424858491,1.5334195865723116E14
69,513624.7424858491,1.9469429144267453E-6,0.014074039214424893,1493.0,513614.7424858491,2.0024113159310594E14
70,512351.15605602827,1.9517825545963837E-6,0.013832238047408636,1075.0,512328.15605602827,2.4766288336114975E14
71,512351.15605602827,1.9517825545963837E-6,0.01341473290634805,1075.0,512328.15605602827,2.2000914075076938E14
72,512351.15605602827,1.9517825545963837E-6,0.012687510021710207,1075.0,512328.15605602827,1.066782079648545E14
73,512351.15605602827,1.9517825545963837E-6,0.012997650004127325,1075.0,512328.15605602827,1.0668442303454277E14
74,512351.15605602827,1.9517825545963837E-6,0.011704731816053245,1075.0,512328.15605602827,1.7333877883567272E14
75,512348.32521585387,1.951793338614622E-6,0.010025725174072941,1819.0,512320.32521585387,1.4055485747574483E14
76,512344.1083278938,1.9518094029698706E-6,0.010188615102421743,1170.0,512321.1083278938,1.0668436952445748E14
