Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,9399115.193884414,1.0639298199661107E-7,0.43943585859102313,9600.0,9399094.193884414,6.266791983536956E14
1,9399115.193884414,1.0639298199661107E-7,0.10033245675145433,9600.0,9399094.193884414,2.000302985826303E14
2,9398382.273170047,1.0640127891514505E-7,0.026219097648053597,261.0,9398378.273170047,9.335101101641523E13
3,9398382.273170047,1.0640127891514505E-7,0.017317948505678405,261.0,9398378.273170047,1.3661365850666947E14
4,9398382.273170047,1.0640127891514505E-7,0.010929344167341891,261.0,9398378.273170047,8.66741504819075E13
5,6057123.734341875,1.6509483358173787E-7,0.01770021869229888,9553.0,6057099.734341875,1.8691436332367044E14
6,6057123.734341875,1.6509483358173787E-7,0.016560376374871,9553.0,6057099.734341875,2.2667124609938716E14
7,6057123.734341875,1.6509483358173787E-7,0.01575206344612207,9553.0,6057099.734341875,2.2000388749329828E14
8,6057108.623396575,1.650952454512853E-7,0.01728701365800222,10581.0,6057099.623396575,9.41599201735517E13
9,6057108.623396575,1.650952454512853E-7,0.013515029532410357,10581.0,6057099.623396575,1.3334143447098789E14
10,6057108.623396575,1.650952454512853E-7,0.01393521720489614,10581.0,6057099.623396575,1.600665719795105E14
11,5097918.87033331,1.9615843823269398E-7,0.0125024243044138,9772.0,5097865.87033331,9.371566090519916E13
12,5097918.87033331,1.9615843823269398E-7,0.012298799224007248,9772.0,5097865.87033331,1.866706206316186E14
13,5031280.005644853,1.9875653911559472E-7,0.013488796140492565,9783.0,5031225.005644853,2.4000796721338225E14
14,4964641.281165159,2.0142438132829753E-7,0.011308452707862633,9789.0,4964586.281165159,1.0000579997399867E14
15,3482551.021484581,2.8714574651887296E-7,0.012951603673926605,9655.0,3482495.021484581,8.700465751587531E13
16,3482551.021484581,2.8714574651887296E-7,0.013222978617121373,9655.0,3482495.021484581,6.033962307489568E13
17,3454369.8141270317,2.894883189466485E-7,0.012956636921635989,10282.0,3454308.8141270317,1.413578735914961E14
18,2946861.8352184375,3.393439246811345E-7,0.012335301537176649,9791.0,2946798.8352184375,4.000236751545492E13
19,2946861.8352184375,3.393439246811345E-7,0.014347113155850733,9791.0,2946798.8352184375,6.66710922844908E13
20,2946861.8352184375,3.393439246811345E-7,0.013133425609804163,9791.0,2946798.8352184375,1.8000186515301275E14
21,2946861.8352184375,3.393439246811345E-7,0.010652002025713592,9791.0,2946798.8352184375,1.0666817995522689E14
22,2764534.300710608,3.617244459649171E-7,0.01069690911583669,9773.0,2764502.300710608,6.666892394802817E13
23,2208577.9785437942,4.5277982345885617E-7,0.01324466160334307,10709.0,2208559.9785437942,4.05903142617626E13
24,2208577.9785437942,4.5277982345885617E-7,0.013117621471128283,10709.0,2208559.9785437942,1.2725554177268386E14
