Gen;Average MSE
5;21334.020202672906
10;24667.60363616296
15;32000.820459587558
20;22034.367329401794
25;18001.590865976817
30;32103.24162210042
35;27333.939811407814
40;32667.379746409326
45;24754.66273443699
50;36667.049662649544
55;24668.194870392308
60;31371.637324442745
65;18792.903349008942
70;24685.86009315606
75;10668.28463264271
80;28667.110396275093
85;22667.294657041795
90;12036.795220669088
95;9371.2086769433
100;16667.31901771201
105;12000.846691808663
110;23333.908455134602
115;13333.575874625083
120;21333.74383704595
125;20666.888536377595
130;22000.287589611136
135;20000.300664780792
140;20668.561557668032
145;15333.858721975676
150;8666.764103354632
155;15369.086021458463
160;12666.899081865131
165;23333.496087167343
170;14667.13574514435
175;12666.932313095238
180;10000.20391410477
185;15333.511049720093
190;8667.232420603304
195;12666.901074324405
200;17379.5570290779
205;10000.307546242995
210;10000.04584037501
215;11333.459813532018
220;8000.328551527466
225;6667.108952350243
230;11334.117639453612
235;12000.585705162752
240;6000.214617570917
245;5333.427922813442
250;8666.921791228626
255;7333.522890339114
260;11333.922578312826
265;9333.60312968737
270;7333.382941295572
275;8666.744864971684
280;14000.180271999641
285;11334.15683974498
290;24000.368836996266
295;4666.80589854883
300;9333.4675977179
305;14686.01709937114
310;6000.181076682568
315;6666.736604615917
320;2666.9565135601147
325;6007.082620887359
330;7371.415169310647
335;10000.70164426152
340;10014.474000690576
345;6716.580515035242
350;8666.842783335305
355;8000.575867614234
360;6002.115400536209
365;10667.217446131448
370;5333.426455481251
375;7333.78471254645
380;7370.60245065952
385;5333.850644123678
390;10666.780833132065
395;9333.35656777906
400;8735.160726274005
