Gen;Hits ratio
5;14145.0
10;25126.0
15;25126.0
20;185.0
25;80.0
30;164.0
35;326.0
40;229.0
45;232.0
50;229.0
55;245.0
60;321.0
65;264.0
70;261.0
75;248.0
80;854.0
85;853.0
90;849.0
95;850.0
100;851.0
105;724.0
110;724.0
115;726.0
120;730.0
125;732.0
130;732.0
135;731.0
140;729.0
145;731.0
150;304.0
155;304.0
160;306.0
165;305.0
170;305.0
175;315.0
180;315.0
185;323.0
190;323.0
195;377.0
200;303.0
205;303.0
210;292.0
215;292.0
220;292.0
225;292.0
230;303.0
235;302.0
240;302.0
245;304.0
250;211.0
255;211.0
260;290.0
265;201.0
270;199.0
275;199.0
280;197.0
285;197.0
290;197.0
295;197.0
300;207.0
305;316.0
310;203.0
315;173.0
320;173.0
325;173.0
330;114.0
335;263.0
340;294.0
345;295.0
350;295.0
355;341.0
360;293.0
365;328.0
370;332.0
375;327.0
380;346.0
385;335.0
390;334.0
395;324.0
400;339.0
