Gen;Hits ratio
5;23891.0
10;23891.0
15;23891.0
20;24443.0
25;24443.0
30;24443.0
35;24557.0
40;24557.0
45;24557.0
50;24557.0
55;24557.0
60;24557.0
65;9494.0
70;9494.0
75;9499.0
80;9491.0
85;9496.0
90;10090.0
95;10096.0
100;10095.0
105;10095.0
110;10095.0
115;10096.0
120;9802.0
125;9802.0
130;9802.0
135;9802.0
140;9769.0
145;10310.0
150;10310.0
155;10314.0
160;10314.0
165;10317.0
170;10317.0
175;10277.0
180;10277.0
185;9833.0
190;9833.0
195;9778.0
200;9891.0
205;9845.0
210;9836.0
215;9843.0
220;9836.0
225;9836.0
230;9836.0
235;9836.0
240;9836.0
245;9946.0
250;9945.0
255;9961.0
260;9962.0
265;9962.0
270;9963.0
275;9963.0
280;10002.0
285;9895.0
290;9895.0
295;9895.0
300;9991.0
305;9802.0
310;9894.0
315;9991.0
320;9991.0
325;9991.0
330;9992.0
335;9991.0
340;9991.0
345;9991.0
350;9996.0
355;9996.0
360;9994.0
365;9994.0
370;9995.0
375;9995.0
380;9994.0
385;9993.0
390;9998.0
395;9993.0
400;9993.0
