Gen;Best MSE
5;1202881.5186486703
10;1202881.5186486703
15;1202881.5186486703
20;1202881.5186486703
25;1202464.82163496
30;1130610.7808193532
35;1130610.7808193532
40;1129775.420916455
45;1127899.0857200082
50;1086941.311096818
55;1086941.311096818
60;1073978.3665422797
65;1073887.3411992711
70;1073302.563968196
75;1072975.5305283032
80;1072771.8401874308
85;1071232.145636849
90;1031886.0939214986
95;1031883.2799661846
100;1031857.8329915821
105;1031794.5986292389
110;1031794.5986292389
115;1028850.7034176658
120;1028599.5634830411
125;1028068.1030007759
130;1025628.2190903914
135;1025628.2221065626
140;1025442.5842948601
145;1025207.2478364812
150;1025207.2477970144
155;1025207.3846804147
160;1024178.9095108125
165;1024142.2725634982
170;832267.5773330317
175;817809.286169706
180;815471.8381098371
185;815448.1767754873
190;785870.3987237113
195;779875.746359642
200;779847.1072046016
205;568018.6428537432
210;562465.5103267095
215;560677.8209762266
220;560474.4633152984
225;558377.8646788922
230;558270.1229401823
235;557825.9806923385
240;557825.9806923385
245;557689.4623796054
250;557686.1272773311
255;519825.4296530533
260;519299.1322368884
265;518109.575319687
270;517604.5117048878
275;516603.65382516105
280;516594.53217734036
285;514572.69302767864
290;504748.36498878343
295;504748.3646313186
300;504748.3646313186
305;504401.9998726548
310;493520.8945690041
315;484447.4276329148
320;484448.3488079752
325;483403.854125576
330;483403.854125576
335;483181.65561969846
340;482804.70207403915
345;482239.529526983
350;478808.82807072374
355;478695.8241399021
360;478244.1198504364
365;477338.4257942292
370;476797.74009867647
375;475045.4677671149
380;471900.62996507523
385;471686.90432075015
390;471497.2094276695
395;470216.7023277313
400;469702.694918896
