Gen;Best MSE
5;2592453.7063907837
10;2592453.7063907837
15;2538913.2501439154
20;2538913.2501439154
25;2532748.1238935483
30;1229911.50102556
35;1097234.771244495
40;1094953.689594222
45;1075908.5681821248
50;998535.8992021398
55;995600.3085085355
60;876798.3824047846
65;876764.39484878
70;876761.9812935491
75;876731.5805511331
80;876022.3018543067
85;875382.0999151196
90;872692.56009113
95;871986.0963664979
100;871986.0963664979
105;871835.9793163972
110;871651.2195090312
115;870570.1386207141
120;870512.8550178836
125;870192.1526691498
130;870126.9036940852
135;869781.2784057277
140;868597.102831762
145;868597.102831762
150;865862.1483377145
155;857701.5854583954
160;857197.5380940601
165;857713.9746758668
170;857566.6434281258
175;848402.1289167281
180;842398.7652359384
185;840294.3964280803
190;839516.6216243018
195;839131.898824063
200;634384.654574397
205;634384.654574397
210;634384.654574397
215;634384.654574397
220;634384.654574397
225;634384.654574397
230;634384.654574397
235;634384.654574397
240;634384.654574397
245;634384.654574397
250;634384.654574397
255;634384.654574397
260;634384.654574397
265;514238.0916073099
270;514238.0916073099
275;514238.0916073099
280;514121.95278781035
285;513981.5586672911
290;513981.55883369956
295;509842.3710472122
300;508769.9261523352
305;506529.549056836
310;505828.19093168277
315;497098.61661853123
320;496875.3405962797
325;496828.8263723953
330;496645.27886263153
335;495021.5994034536
340;494810.36133744085
345;494453.61337902397
350;494453.61337902397
355;494452.1686173363
360;494451.88931755075
365;494166.0896946685
370;494166.0896946685
375;494166.0896946685
380;493915.34462718206
385;493769.54952800187
390;493600.7984446536
395;493503.14486138785
400;492407.1979453928
