Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,9406186.292415723,1.0631300110367855E-7,0.6624519160304448,180.0,9406179.292415723,6.200175189418448E14
1,3606726.013805229,2.772596861842791E-7,0.128499835701036,9345.0,3606715.013805229,2.2669080175572647E14
2,3542449.13388385,2.822904944899326E-7,0.053836561198999024,9349.0,3542431.13388385,1.5334532056213462E14
3,3542449.13388385,2.822904944899326E-7,0.030537586352686,9349.0,3542431.13388385,1.1369389547394666E14
4,3542449.13388385,2.822904944899326E-7,0.024243392517635767,9349.0,3542431.13388385,1.1338175982485086E14
5,3542449.13388385,2.822904944899326E-7,0.021174771515623983,9349.0,3542431.13388385,1.1421110796674217E14
6,2742598.8257333892,3.646175393935181E-7,0.02561018140916615,24269.0,2742591.8257333892,2.0667492344879428E14
7,2742598.8257333892,3.646175393935181E-7,0.02288340765296769,24269.0,2742591.8257333892,1.0703081460311102E14
8,2742598.8257333892,3.646175393935181E-7,0.02185398324390894,24269.0,2742591.8257333892,1.4068719474057906E14
9,2742598.8257333892,3.646175393935181E-7,0.017476744793740256,24269.0,2742591.8257333892,1.533403759319659E14
10,2742598.8257333892,3.646175393935181E-7,0.017501813064266635,24269.0,2742591.8257333892,2.359121025275708E14
11,2742598.8257333892,3.646175393935181E-7,0.014906793052942392,24269.0,2742591.8257333892,1.1370563524302648E14
12,1202843.401327922,8.31362725632688E-7,0.025259192878120677,10007.0,1202828.401327922,6.670800183519491E13
13,1202843.401327922,8.31362725632688E-7,0.023324915228711135,10007.0,1202828.401327922,1.0667052483482367E14
14,1202843.401327922,8.31362725632688E-7,0.02664788136210893,10007.0,1202828.401327922,2.800016708172975E14
15,1202843.401327922,8.31362725632688E-7,0.028703650981847094,10007.0,1202828.401327922,1.6347227532841906E14
16,1202843.401327922,8.31362725632688E-7,0.027858299392634515,10007.0,1202828.401327922,1.1334122720957703E14
17,1202843.401327922,8.31362725632688E-7,0.03403053069112536,10007.0,1202828.401327922,1.8740217946221528E14
18,1202323.5066107658,8.31722213513639E-7,0.03664241204463566,9996.0,1202300.5066107658,2.60672165453903E14
19,1202323.5066107658,8.31722213513639E-7,0.029182543895832008,9996.0,1202300.5066107658,2.000100423451405E14
20,939646.9868613455,1.0642283216507973E-6,0.030763943981458375,9310.0,939633.9868613455,2.073482851817008E14
21,939646.9868613455,1.0642283216507973E-6,0.02560447125358607,9310.0,939633.9868613455,3.33338626298323E14
22,939646.9868613455,1.0642283216507973E-6,0.02198595042629117,9310.0,939633.9868613455,2.3334218837688747E14
23,939646.9868613455,1.0642283216507973E-6,0.018753296936598697,9310.0,939633.9868613455,2.8667185281931025E14
