Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,9430651.54838893,1.0603720101753015E-7,0.6321847004948218,103.0,9430619.54838893,6.003576414614722E14
1,9430651.54838893,1.0603720101753015E-7,0.3070882784041125,103.0,9430619.54838893,4.5369162130433194E14
2,9430650.54838882,1.0603721226142059E-7,0.08042744436456144,103.0,9430619.54838882,1.733519900865557E14
3,1202886.7866535652,8.313327403398124E-7,0.27936232405832057,24307.0,1202881.7866535652,2.2001261653154428E14
4,578288.2549252858,1.7292384243404257E-6,0.18287881988764776,24499.0,578283.2549252858,1.8001087788581153E14
5,578288.2549252858,1.7292384243404257E-6,0.1661445994281062,24499.0,578283.2549252858,1.600092647604059E14
6,578288.2549252858,1.7292384243404257E-6,0.10392491176748316,24499.0,578283.2549252858,2.133533946242812E14
7,578288.2549252858,1.7292384243404257E-6,0.05983812330404834,24499.0,578283.2549252858,2.200057443662534E14
8,578288.2549252858,1.7292384243404257E-6,0.040734651628209766,24499.0,578283.2549252858,1.9334079943796806E14
9,578288.2549252858,1.7292384243404257E-6,0.03177903465668156,24499.0,578283.2549252858,3.0036963065405544E14
10,578288.2549252858,1.7292384243404257E-6,0.027316176307583886,24499.0,578283.2549252858,2.6000819304149878E14
11,578288.2549252858,1.7292384243404257E-6,0.022224995098871825,24499.0,578283.2549252858,2.466772401755464E14
12,578288.2549252858,1.7292384243404257E-6,0.025777535284050457,24499.0,578283.2549252858,2.4667544109626906E14
13,578288.2549252858,1.7292384243404257E-6,0.02491925856313773,24499.0,578283.2549252858,2.6001088764400225E14
14,578259.0358281881,1.7293258016141355E-6,0.01978472447996258,2661.0,578249.0358281881,2.7334347528660875E14
15,578259.0358281881,1.7293258016141355E-6,0.019552680904105762,2661.0,578249.0358281881,2.946194355714431E14
16,578259.0358281881,1.7293258016141355E-6,0.018895091363442782,2661.0,578249.0358281881,2.1001914184331825E14
17,578259.0358281881,1.7293258016141355E-6,0.01691119189181228,2661.0,578249.0358281881,1.806518749346891E14
18,578259.0358281881,1.7293258016141355E-6,0.018171168470644036,2661.0,578249.0358281881,2.133414909013255E14
19,578259.0358281881,1.7293258016141355E-6,0.018441686741005926,2661.0,578249.0358281881,2.0667578010156584E14
20,578259.0358281881,1.7293258016141355E-6,0.02043616243757568,2661.0,578249.0358281881,2.133430226233526E14
21,578259.0358281881,1.7293258016141355E-6,0.02117476792424326,2661.0,578249.0358281881,2.400085420281252E14
22,578259.0358281881,1.7293258016141355E-6,0.021705375873196583,2661.0,578249.0358281881,1.1369457615980058E14
