Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,2829474.8977662153,3.5342234255802263E-7,0.39956850556555107,253.0,2829464.8977662153,6.204958692271785E14
1,2829474.8977662153,3.5342234255802263E-7,0.0980341937866373,253.0,2829464.8977662153,3.1364128903775756E14
2,2506210.73874243,3.9900858516518686E-7,0.05656559623917029,205.0,2506151.73874243,1.333545662640843E14
3,2506210.73874243,3.9900858516518686E-7,0.046348109433533805,205.0,2506151.73874243,1.3875226813364888E14
4,2506210.73874243,3.9900858516518686E-7,0.038702753422103754,205.0,2506151.73874243,1.5403976726856153E14
5,2506210.73874243,3.9900858516518686E-7,0.042090353675427496,205.0,2506151.73874243,1.93778250530861E14
6,2506210.73874243,3.9900858516518686E-7,0.03826813045367637,205.0,2506151.73874243,1.2737530080347083E14
7,2317704.5527245677,4.3146119179136224E-7,0.030625367866411256,344.0,2317659.5527245677,1.1542468263826686E14
8,1543110.5777328261,6.480412786930303E-7,0.03671322107070813,20485.0,1543104.5777328261,2.748772524281367E14
9,611673.8098012097,1.6348556193200002E-6,0.06359219227820467,238.0,611663.8098012097,1.5333836181044916E14
10,611673.8098012097,1.6348556193200002E-6,0.051896985720705016,238.0,611663.8098012097,1.8795275250007428E14
11,611673.8098012097,1.6348556193200002E-6,0.04651848717715211,238.0,611663.8098012097,1.2083994596121984E14
12,611673.8098012097,1.6348556193200002E-6,0.03584860294468539,238.0,611663.8098012097,2.2000325871414453E14
13,611129.4819489324,1.636311768987433E-6,0.028211249200094067,1029.0,611023.4819489324,1.070630849128306E14
14,610787.0258213382,1.6372292149232643E-6,0.015861099345219974,1058.0,610689.0258213382,5.468375372171125E13
15,610601.6509346747,1.6377262667780082E-6,0.011570940975819635,1026.0,610458.6509346747,1.800031894028229E14
16,610601.6509346747,1.6377262667780082E-6,0.009952886160175173,1026.0,610458.6509346747,2.1333549608235294E14
17,610597.0165121065,1.6377386970764467E-6,0.009161102113277256,998.0,610504.0165121065,1.8666860753046462E14
18,610594.0165299613,1.6377467436322108E-6,0.007999135527102727,998.0,610504.0165299613,6.6668545052193586E13
19,610594.0165299613,1.6377467436322108E-6,0.008472454575389976,998.0,610504.0165299613,9.33347091570013E13
20,610587.0165299613,1.6377655193482339E-6,0.010641996482185305,998.0,610504.0165299613,2.0000710645026856E14
21,610587.0165299613,1.6377655193482339E-6,0.009132497764299695,998.0,610504.0165299613,1.200326455965916E14
22,610586.2163213332,1.6377676657313618E-6,0.007375181211546669,706.0,610446.2163213332,6.667216241408149E13
23,610586.2163213332,1.6377676657313618E-6,0.00793476652357108,706.0,610446.2163213332,8.000262439535014E13
24,610566.4727336867,1.6378206253318927E-6,0.008182860722151249,940.0,610502.4727336867,1.0667391920013105E14
25,610556.2228520331,1.637848120654118E-6,0.008187604115617564,1008.0,610480.2228520331,8.666875848916223E13
26,610556.2228520331,1.637848120654118E-6,0.007934359658729198,1008.0,610480.2228520331,1.1333508043503027E14
27,610549.9362099224,1.6378649850373425E-6,0.008548685363287506,705.0,610478.9362099224,1.2046145524083627E14
28,610549.9362099224,1.6378649850373425E-6,0.008280261462180272,705.0,610478.9362099224,1.0704787231727512E14
29,608060.4228002041,1.6445707004316542E-6,0.008516774647255537,769.0,608021.4228002041,1.733340407199893E14
30,608060.4228002041,1.6445707004316542E-6,0.007802594353403762,769.0,608021.4228002041,6.000141074193384E13
31,608060.4228002041,1.6445707004316542E-6,0.009286614970289259,769.0,608021.4228002041,1.0078749279171562E14
32,608060.4228002041,1.6445707004316542E-6,0.009109255779083118,769.0,608021.4228002041,1.9333494783454688E14
33,608060.4228002041,1.6445707004316542E-6,0.009683479141378569,769.0,608021.4228002041,1.4000362693602823E14
34,608060.4228002041,1.6445707004316542E-6,0.008449426481254537,769.0,608021.4228002041,9.372375616427328E13
35,608060.4228002041,1.6445707004316542E-6,0.010227124062146827,769.0,608021.4228002041,2.53704316222731E14
36,608011.2863447937,1.6447036062572533E-6,0.01002717372338037,958.0,607966.2863447937,1.5345138855608334E14
37,608011.2863447937,1.6447036062572533E-6,0.010613980796015101,958.0,607966.2863447937,9.372718660345042E13
38,608011.2863447937,1.6447036062572533E-6,0.008913970259130106,958.0,607966.2863447937,1.4000136521935102E14
39,608011.2863447937,1.6447036062572533E-6,0.007801333781860406,958.0,607966.2863447937,4.008156853805197E13
40,608011.2863447937,1.6447036062572533E-6,0.008653788836859109,958.0,607966.2863447937,1.200018126886708E14
41,608011.2863447937,1.6447036062572533E-6,0.008778818755153621,958.0,607966.2863447937,1.733343741242338E14
42,607959.3590195318,1.6448440842635157E-6,0.009360639781027549,737.0,607905.3590195318,1.600032950364771E14
43,607955.3590195318,1.6448549063829648E-6,0.008640997281645798,737.0,607905.3590195318,1.6666874820293047E14
44,607940.7515943315,1.6448944284176783E-6,0.00849491276756423,755.0,607910.7515943315,1.533366013053192E14
45,607939.2132680633,1.6448985906432598E-6,0.008932182390185084,781.0,607910.2132680633,8.66726310120578E13
46,606265.3704635259,1.6494399965405337E-6,0.009200523087327455,714.0,606214.3704635259,1.017069726421619E14
47,606265.3704635259,1.6494399965405337E-6,0.00883333293299184,714.0,606214.3704635259,7.388182469836022E13
48,606265.3704635259,1.6494399965405337E-6,0.012049900963578842,714.0,606214.3704635259,3.214932065717676E14
49,606265.3704635259,1.6494399965405337E-6,0.010331369803720002,714.0,606214.3704635259,1.6507724329854022E14
50,606265.3704635259,1.6494399965405337E-6,0.008601703281194266,714.0,606214.3704635259,1.267882718669036E14
51,606265.3704635259,1.6494399965405337E-6,0.008296990417390751,714.0,606214.3704635259,8.067549489278914E13
52,606265.3704635259,1.6494399965405337E-6,0.009206971340291536,714.0,606214.3704635259,2.133338059651403E14
53,606265.3704635259,1.6494399965405337E-6,0.007937815830324086,714.0,606214.3704635259,1.1333449586998002E14
54,606265.3704635259,1.6494399965405337E-6,0.00860483792854283,714.0,606214.3704635259,1.1333426470648939E14
55,606265.3704635259,1.6494399965405337E-6,0.009050929758884269,714.0,606214.3704635259,6.667024286510004E13
56,606265.3704635259,1.6494399965405337E-6,0.0094177164056456,714.0,606214.3704635259,1.7370994704743772E14
57,599594.5542269258,1.6677908849563204E-6,0.00861378234219071,716.0,599530.5542269258,5.354867313630582E13
58,599594.5542269258,1.6677908849563204E-6,0.008779213452275746,716.0,599530.5542269258,1.4000275461323136E14
59,599594.5542269258,1.6677908849563204E-6,0.008549459313282966,716.0,599530.5542269258,1.2000923502055583E14
60,599594.5542269258,1.6677908849563204E-6,0.009489118939465715,716.0,599530.5542269258,2.0666940666233816E14
61,599594.5542269258,1.6677908849563204E-6,0.010631979453473446,716.0,599530.5542269258,2.0716133540987475E14
62,599594.5542269258,1.6677908849563204E-6,0.01076865393918974,716.0,599530.5542269258,1.8742129689732825E14
63,599594.5542269258,1.6677908849563204E-6,0.009460331311882631,716.0,599530.5542269258,1.200034236310867E14
64,599594.5542269258,1.6677908849563204E-6,0.008827755267021727,716.0,599530.5542269258,1.1333664285873261E14
65,599594.5542269258,1.6677908849563204E-6,0.009624809216999458,716.0,599530.5542269258,1.1333744690577167E14
66,599594.5542269258,1.6677908849563204E-6,0.008971267263022071,716.0,599530.5542269258,1.2229147696758669E14
67,599594.5542269258,1.6677908849563204E-6,0.00980365216628365,716.0,599530.5542269258,1.0667037966439886E14
68,599594.5542269258,1.6677908849563204E-6,0.01039233145018617,716.0,599530.5542269258,2.0666899201665738E14
69,599594.5542269258,1.6677908849563204E-6,0.008244959992121414,716.0,599530.5542269258,1.0037611290026816E14
70,599594.5542269258,1.6677908849563204E-6,0.008213585914731378,716.0,599530.5542269258,9.333519523937116E13
71,599544.3291053291,1.6679305991629506E-6,0.008438401413772818,689.0,599488.3291053291,1.2666783632786442E14
72,599544.3291053291,1.6679305991629506E-6,0.008528528684757534,689.0,599488.3291053291,9.365939223721811E13
73,599544.3291053291,1.6679305991629506E-6,0.009299388953940894,689.0,599488.3291053291,1.3370395624737448E14
74,599544.3291053291,1.6679305991629506E-6,0.008657856898903573,689.0,599488.3291053291,1.8666825198772834E14
75,599544.3291053291,1.6679305991629506E-6,0.00921985152097071,689.0,599488.3291053291,1.0668038781723333E14
76,599544.3291053291,1.6679305991629506E-6,0.011149822370854696,689.0,599488.3291053291,2.0000720160284372E14
77,599544.3291053291,1.6679305991629506E-6,0.00870451352892982,689.0,599488.3291053291,8.000287538184242E13
78,599537.5510350802,1.6679494559166187E-6,0.00802899852265203,982.0,599474.5510350802,1.2074483950853158E14
79,599537.5510350802,1.6679494559166187E-6,0.008430224560032002,982.0,599474.5510350802,1.0666896424011403E14
80,596995.2705158115,1.6750523401695436E-6,0.009117565680327979,717.0,596888.2705158115,2.066682923201308E14
81,596995.2705158115,1.6750523401695436E-6,0.009091420583569206,717.0,596888.2705158115,7.484052568481419E13
82,596995.2705158115,1.6750523401695436E-6,0.009763655842270826,717.0,596888.2705158115,1.7334214741136647E14
83,596995.2705158115,1.6750523401695436E-6,0.00837150808062034,717.0,596888.2705158115,1.1079426148101625E14
84,596995.2705158115,1.6750523401695436E-6,0.0089455951877601,717.0,596888.2705158115,9.334682240434708E13
85,596995.2705158115,1.6750523401695436E-6,0.00958706230400828,717.0,596888.2705158115,2.5333468710912225E14
86,596995.2705158115,1.6750523401695436E-6,0.008259644431188377,717.0,596888.2705158115,5.3336946562323445E13
87,596995.2705158115,1.6750523401695436E-6,0.008091383092660841,717.0,596888.2705158115,6.000328125579014E13
88,596987.2851851081,1.6750747457128579E-6,0.008681055112384274,717.0,596888.2851851081,8.000325163688731E13
89,596982.2607050694,1.6750888438964706E-6,0.008065933947511785,717.0,596888.2607050694,6.000320053564634E13
