Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,1.0120464141519425E7,9.880968769878753E-8,0.8837504860101218,1742.0,1.0120439141519425E7,5.803688031154559E14
1,1.0120464141519425E7,9.880968769878753E-8,0.21821241820562334,1742.0,1.0120439141519425E7,3.003721798235539E14
2,4476269.363940791,2.234002682357252E-7,0.090713023824909,9367.0,4476207.363940791,9.33549058763308E13
3,4476269.363940791,2.234002682357252E-7,0.048924092320888665,9367.0,4476207.363940791,1.3334892218455205E14
4,4476269.363940791,2.234002682357252E-7,0.031551294421322415,9367.0,4476207.363940791,2.600088001734022E14
5,1080112.975545989,9.258282205769146E-7,0.0739436165747729,9374.0,1080044.975545989,1.2001184276979597E14
6,1080112.975545989,9.258282205769146E-7,0.054468397492240125,9374.0,1080044.975545989,1.2667187951733523E14
7,1067720.5137230875,9.365738042619875E-7,0.03220864978183067,185.0,1067712.5137230875,6.667370120029292E13
8,1067720.5137230875,9.365738042619875E-7,0.019620469109108217,185.0,1067712.5137230875,4.66749669290621E13
9,1032407.052392057,9.686092603433607E-7,0.014490328148856767,9388.0,1032342.052392057,8.110865126003484E13
10,1032156.1698087171,9.688446965739951E-7,0.010125305468777872,9575.0,1032057.1698087171,5.3339219276328914E13
11,1032156.1698087171,9.688446965739951E-7,0.010781714991448837,9575.0,1032057.1698087171,2.2000300590410303E14
12,1032129.3686521198,9.688698544021338E-7,0.011278295379211717,9575.0,1032057.3686521198,6.788893849348712E13
13,1032119.6724739431,9.68878956375371E-7,0.009413432507281163,9576.0,1032046.6724739431,1.133395216693785E14
14,1031985.3990011648,9.690050188334617E-7,0.00808934439081027,9607.0,1031966.3990011648,6.667033384362372E13
15,1031985.3990011648,9.690050188334617E-7,0.008058067075728122,9607.0,1031966.3990011648,1.0666841213360158E14
16,1031964.0528771277,9.690250626336533E-7,0.009886892303377628,9449.0,1031950.0528771277,8.667223924266667E13
17,1031964.0528771277,9.690250626336533E-7,0.01069819723276929,9449.0,1031950.0528771277,2.0667141534033912E14
18,1031944.4441378524,9.690434757774026E-7,0.012920441897579517,9368.0,1031922.4441378524,1.6667568889630578E14
19,862910.9347435067,1.1588668086937997E-6,0.014298262364930706,25126.0,862905.9347435067,2.6000431529148844E14
20,862910.9347435067,1.1588668086937997E-6,0.015190926547101467,25126.0,862905.9347435067,1.5334178581337988E14
21,862910.9347435067,1.1588668086937997E-6,0.016466478363804785,25126.0,862905.9347435067,1.5391627451128353E14
22,862910.9347435067,1.1588668086937997E-6,0.016489884262013747,25126.0,862905.9347435067,3.0000711417369444E14
23,862910.9347435067,1.1588668086937997E-6,0.01652602978237846,25126.0,862905.9347435067,1.6001287064154047E14
24,862910.9347435067,1.1588668086937997E-6,0.01867431292087367,25126.0,862905.9347435067,2.000133724151036E14
25,862910.9347435067,1.1588668086937997E-6,0.026605632652322714,25126.0,862905.9347435067,2.46683105029376E14
26,862910.9347435067,1.1588668086937997E-6,0.02254531043811318,25126.0,862905.9347435067,2.6000908677090853E14
27,862910.9347435067,1.1588668086937997E-6,0.02173349833750777,25126.0,862905.9347435067,3.000254330300444E14
28,862910.9347435067,1.1588668086937997E-6,0.0200786686987347,25126.0,862905.9347435067,3.068229338738268E14
29,862910.9347435067,1.1588668086937997E-6,0.018975069485670546,25126.0,862905.9347435067,2.604171182828477E14
30,862910.9347435067,1.1588668086937997E-6,0.01582845209556659,25126.0,862905.9347435067,2.003570854412849E14
31,862910.9347435067,1.1588668086937997E-6,0.01788634933016609,25126.0,862905.9347435067,2.200113743383299E14
32,862910.9347435067,1.1588668086937997E-6,0.017934214052245573,25126.0,862905.9347435067,2.7370309122200634E14
33,862910.9347435067,1.1588668086937997E-6,0.01781716397764946,25126.0,862905.9347435067,1.6667684869771906E14
34,862910.9347435067,1.1588668086937997E-6,0.013846901681447584,25126.0,862905.9347435067,1.6667683458313922E14
35,862910.9347435067,1.1588668086937997E-6,0.016207333442692134,25126.0,862905.9347435067,1.600161892486649E14
36,862910.9347435067,1.1588668086937997E-6,0.01635846212391709,25126.0,862905.9347435067,2.4000891776382422E14
37,514247.0916073099,1.944586701089053E-6,0.024436335389538644,25062.0,514238.0916073099,1.6001133168347447E14
38,514247.0916073099,1.944586701089053E-6,0.028159224030087544,25062.0,514238.0916073099,2.3334988657712775E14
39,514247.0916073099,1.944586701089053E-6,0.02952039625129313,25062.0,514238.0916073099,2.600124838825472E14
40,514247.0916073099,1.944586701089053E-6,0.022632424591269042,25062.0,514238.0916073099,2.5334186954248922E14
41,514247.0916073099,1.944586701089053E-6,0.021289816546552494,25062.0,514238.0916073099,1.8001357644205688E14
42,514247.0916073099,1.944586701089053E-6,0.022797077830338023,25062.0,514238.0916073099,1.6667961809500028E14
43,514247.0916073099,1.944586701089053E-6,0.022697437970598082,25062.0,514238.0916073099,1.4667650481646738E14
44,514247.0916073099,1.944586701089053E-6,0.022263217791567733,25062.0,514238.0916073099,1.2001332864155969E14
45,514247.0916073099,1.944586701089053E-6,0.01638276491638794,25062.0,514238.0916073099,1.8000661174592416E14
46,514247.0916073099,1.944586701089053E-6,0.01690911951017929,25062.0,514238.0916073099,1.7333919287742116E14
47,514247.0916073099,1.944586701089053E-6,0.017517632606883802,25062.0,514238.0916073099,1.866756568076891E14
48,514247.0916073099,1.944586701089053E-6,0.018505162776510514,25062.0,514238.0916073099,1.9357636883025353E14
49,514243.0916073099,1.9446018268764593E-6,0.019128499944664295,25062.0,514238.0916073099,1.4042808751394731E14
50,514243.0916073099,1.9446018268764593E-6,0.018724532576763753,25062.0,514238.0916073099,2.6667711746533353E14
51,514243.0916073099,1.9446018268764593E-6,0.01646594356332926,25062.0,514238.0916073099,1.3334948331435045E14
52,514243.0916073099,1.9446018268764593E-6,0.01585591135628496,25062.0,514238.0916073099,1.2668394288938208E14
53,514243.0916073099,1.9446018268764593E-6,0.016645476338403076,25062.0,514238.0916073099,1.5335426011656062E14
54,514243.0916073099,1.9446018268764593E-6,0.015542154546138855,25062.0,514238.0916073099,2.0668145197708212E14
55,514243.0916073099,1.9446018268764593E-6,0.016902921750937928,25062.0,514238.0916073099,1.4001387410674053E14
56,514243.0916073099,1.9446018268764593E-6,0.019155358539046055,25062.0,514238.0916073099,1.0668061115698372E14
57,514243.0916073099,1.9446018268764593E-6,0.018021170189103545,25062.0,514238.0916073099,2.47046079849991E14
58,514243.0916073099,1.9446018268764593E-6,0.014624134159742718,25062.0,514238.0916073099,1.466738285602872E14
59,514243.0916073099,1.9446018268764593E-6,0.013714088935845217,25062.0,514238.0916073099,1.800051717492162E14
60,514243.0916073099,1.9446018268764593E-6,0.015702943676868565,25062.0,514238.0916073099,2.666724949590692E14
61,514243.0916073099,1.9446018268764593E-6,0.016200180865486694,25062.0,514238.0916073099,1.8017272209399794E14
62,514243.0916073099,1.9446018268764593E-6,0.016601921703472185,25062.0,514238.0916073099,1.466786679186905E14
63,514243.0916073099,1.9446018268764593E-6,0.01881444827516695,25062.0,514238.0916073099,2.2000779814876128E14
64,514243.0916073099,1.9446018268764593E-6,0.018234849853602957,25062.0,514238.0916073099,2.2667599500351556E14
65,514243.0916073099,1.9446018268764593E-6,0.017283158820766937,25062.0,514238.0916073099,1.3334709063284358E14
66,514243.0916073099,1.9446018268764593E-6,0.018335995864939936,25062.0,514238.0916073099,1.6001585076989897E14
67,514243.0916073099,1.9446018268764593E-6,0.0159032163429037,25062.0,514238.0916073099,2.0667836337361934E14
68,514243.0916073099,1.9446018268764593E-6,0.014308231154519421,25062.0,514238.0916073099,2.200078660636469E14
69,514243.0916073099,1.9446018268764593E-6,0.01642150182557521,25062.0,514238.0916073099,2.533395192916366E14
70,514243.0916073099,1.9446018268764593E-6,0.017959626885487474,25062.0,514238.0916073099,2.3334932101589422E14
71,514243.0916073099,1.9446018268764593E-6,0.01768483316512441,25062.0,514238.0916073099,2.200190361393852E14
72,514243.0916073099,1.9446018268764593E-6,0.019167807871823782,25062.0,514238.0916073099,2.2667715715300175E14
73,514243.0916073099,1.9446018268764593E-6,0.015974300712214205,25062.0,514238.0916073099,1.0807550913041403E14
74,514243.0916073099,1.9446018268764593E-6,0.019148824723255214,25062.0,514238.0916073099,1.9334883166571316E14
75,514239.2253367857,1.9446164471966015E-6,0.02004934513715249,1404.0,514230.2253367857,1.6001424431880138E14
76,514239.2253367857,1.9446164471966015E-6,0.01694031145985294,1404.0,514230.2253367857,1.5334275749751816E14
77,514239.2253367857,1.9446164471966015E-6,0.015097707173644798,1404.0,514230.2253367857,1.9334354322527616E14
78,514239.2253367857,1.9446164471966015E-6,0.01442301695204796,1404.0,514230.2253367857,1.733446615134165E14
79,514239.2253367857,1.9446164471966015E-6,0.016013468516911454,1404.0,514230.2253367857,1.733532203098592E14
80,514238.9681092165,1.944617419911662E-6,0.0171463518781018,2185.0,514229.9681092165,3.466746697175185E14
81,514238.9681092165,1.944617419911662E-6,0.01853773104761887,2185.0,514229.9681092165,3.5334203609297394E14
82,514238.9681092165,1.944617419911662E-6,0.017976013602674343,2185.0,514229.9681092165,2.0706848915268866E14
83,514238.9681092165,1.944617419911662E-6,0.016413563053789493,2185.0,514229.9681092165,1.2667739008055389E14
84,514238.9681092165,1.944617419911662E-6,0.01788421737510597,2185.0,514229.9681092165,1.0001141965657595E14
85,514238.9681092165,1.944617419911662E-6,0.017054980804888816,2185.0,514229.9681092165,2.6667333955737366E14
86,514237.16688705166,1.9446242313236194E-6,0.0195437488877774,727.0,514224.16688705166,2.4667674986858316E14
87,514237.16688705166,1.9446242313236194E-6,0.01670674117648853,727.0,514224.16688705166,1.800114260850235E14
88,514237.16688705166,1.9446242313236194E-6,0.018240697158634578,727.0,514224.16688705166,2.5334685279934694E14
89,514237.16688705166,1.9446242313236194E-6,0.016232238941662414,727.0,514224.16688705166,1.7334520293340344E14
90,514236.87824335333,1.9446253228486776E-6,0.015057459125323908,479.0,514223.87824335333,1.466954094402066E14
91,514236.87824335333,1.9446253228486776E-6,0.016026122888982416,479.0,514223.87824335333,3.5333905207966494E14
92,514236.8446111231,1.9446254500312396E-6,0.01568236115243334,1269.0,514223.8446111231,1.666793961080721E14
93,514236.8446111231,1.9446254500312396E-6,0.014793676516618661,1269.0,514223.8446111231,1.4001930637563631E14
94,514234.8610588327,1.94463295099832E-6,0.014163754822599132,465.0,514221.8610588327,1.4667730508902538E14
95,514234.8610588327,1.94463295099832E-6,0.01211568779229024,465.0,514221.8610588327,2.4666893440323322E14
96,514234.8610588327,1.94463295099832E-6,0.01493739106229208,465.0,514221.8610588327,3.133384353398699E14
97,514234.8610588327,1.94463295099832E-6,0.016307324900997292,465.0,514221.8610588327,3.200089534718851E14
98,514234.7913825048,1.94463321448617E-6,0.01694333463293002,897.0,514221.7913825048,2.7334203362158844E14
99,514234.7913825048,1.94463321448617E-6,0.017959562901047953,897.0,514221.7913825048,3.4000625015976575E14
100,514233.49473306857,1.9446381179058887E-6,0.01509880111762911,465.0,514214.49473306857,1.8001314351953066E14
101,514232.81541472126,1.944640686831371E-6,0.01645894324988458,364.0,514213.81541472126,2.6667419689667503E14
102,514232.81541472126,1.944640686831371E-6,0.014399255828281735,364.0,514213.81541472126,2.8667518024296375E14
103,514232.81541472126,1.944640686831371E-6,0.013903080862554387,364.0,514213.81541472126,1.3368373765600328E14
104,513669.03796362836,1.9467750230563525E-6,0.014750943208606584,1552.0,513653.03796362836,2.1334496442960938E14
105,513669.03796362836,1.9467750230563525E-6,0.01587316210608282,1552.0,513653.03796362836,2.3334498351103322E14
106,513669.03796362836,1.9467750230563525E-6,0.014638811496403442,1552.0,513653.03796362836,1.8747703756218647E14
107,513669.03796362836,1.9467750230563525E-6,0.014003566000936768,1552.0,513653.03796362836,2.0667589142639138E14
108,513669.03796362836,1.9467750230563525E-6,0.015491923601370871,1552.0,513653.03796362836,1.200192259365926E14
109,513669.03796362836,1.9467750230563525E-6,0.015471224843675538,1552.0,513653.03796362836,1.7335216656434288E14
110,513669.03796362836,1.9467750230563525E-6,0.01742475517263019,1552.0,513653.03796362836,1.866793704816394E14
111,513669.03796362836,1.9467750230563525E-6,0.015179607284742798,1552.0,513653.03796362836,1.8667313644612594E14
112,513669.03796362836,1.9467750230563525E-6,0.011721226695379896,1552.0,513653.03796362836,1.333411809818495E14
