Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,2.0259422724685512E7,4.9359745548020174E-8,0.46538528069994317,12995.0,2.0259418724685512E7,6.267254447511286E14
1,2.0259422724685512E7,4.9359745548020174E-8,0.1127906751471894,12995.0,2.0259418724685512E7,3.349889239325398E14
2,2.0259422724685512E7,4.9359745548020174E-8,0.048077556976561166,12995.0,2.0259418724685512E7,2.5388548900264756E14
3,5594764.57490022,1.7873849880078926E-7,0.07364841751414508,199.0,5594757.57490022,2.2887683907851056E14
4,5594764.57490022,1.7873849880078926E-7,0.05368072015693493,199.0,5594757.57490022,2.6678461913041228E14
5,5594764.57490022,1.7873849880078926E-7,0.037483199021617675,199.0,5594757.57490022,1.0672757346593152E14
6,5580511.313945926,1.7919501718524295E-7,0.022557394373413725,148.0,5580504.313945926,1.2000235872943461E14
7,5580507.642507358,1.7919513507834898E-7,0.02097622108947438,228.0,5580503.642507358,2.5190266990737447E14
8,5080973.834383411,1.9681262604036347E-7,0.014568943177236648,1060.0,5080935.834383411,1.7341539294990225E14
9,5080973.834383411,1.9681262604036347E-7,0.014497131252400864,1060.0,5080935.834383411,1.977432242499921E14
10,3272604.7605089485,3.0556690086754664E-7,0.02335906875124364,2299.0,3272556.7605089485,2.5333527766802694E14
11,3272604.7605089485,3.0556690086754664E-7,0.021506225114472633,2299.0,3272556.7605089485,1.4666906627158553E14
12,3272604.7605089485,3.0556690086754664E-7,0.021272136012849673,2299.0,3272556.7605089485,8.000571950018284E13
13,3272604.7605089485,3.0556690086754664E-7,0.0201957488534329,2299.0,3272556.7605089485,1.733997942386306E14
14,3074728.452644212,3.2523186686881276E-7,0.020605070868356678,2313.0,3074662.452644212,1.466691643124589E14
15,3074728.452644212,3.2523186686881276E-7,0.017567914900965525,2313.0,3074662.452644212,6.666901557701423E13
16,3050890.9058530047,3.2777300240678573E-7,0.012724977910247738,2308.0,3050827.9058530047,8.673404100949767E13
17,3017593.2494009165,3.313898149820938E-7,0.012527984912154125,2795.0,3017519.2494009165,1.600117599856521E14
18,3017593.2494009165,3.313898149820938E-7,0.014330012553538551,2795.0,3017519.2494009165,1.6667076629518262E14
19,3017593.2494009165,3.313898149820938E-7,0.009852632426086434,2795.0,3017519.2494009165,2.666895646203215E13
20,2952419.5923097585,3.387051298194858E-7,0.01088636980132518,15107.0,2952362.5923097585,1.1333452316746786E14
21,2952419.5923097585,3.387051298194858E-7,0.00904805890709701,15107.0,2952362.5923097585,1.0666721638804962E14
22,2952419.5923097585,3.387051298194858E-7,0.008972823199201877,15107.0,2952362.5923097585,1.4000034576252392E14
23,2928356.5315565676,3.414883562624439E-7,0.009608292335130497,2782.0,2928191.5315565676,1.4000083002110339E14
24,2919348.6077546123,3.425420502373951E-7,0.009350090582818821,15110.0,2919232.6077546123,1.534999538060725E14
25,2919348.6077546123,3.425420502373951E-7,0.010305755513226062,15110.0,2919232.6077546123,1.8666748714073028E14
