Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,5938743.376803646,1.6838576246957788E-7,0.5776852469127792,31777.0,5938738.376803646,6.000067731639694E14
1,5938156.514661847,1.684024038653252E-7,0.07063531249947029,1215.0,5938151.514661847,2.066751783902432E14
2,5938156.514661847,1.684024038653252E-7,0.03916837729646217,1215.0,5938151.514661847,1.86670184539085E14
3,5925372.20939408,1.687657409350353E-7,0.033392488328789896,196.0,5925367.20939408,1.4678869154764462E14
4,5580500.832652726,1.7919535374915267E-7,0.02445432579307386,135.0,5580492.832652726,2.066684064438253E14
5,5560300.754955622,1.7984635440131452E-7,0.02288367165227704,13033.0,5560294.754955622,1.4014683453429064E14
6,5560300.754955622,1.7984635440131452E-7,0.01569206581328252,13033.0,5560294.754955622,2.0252886696959497E14
7,5318620.711379937,1.8801863608016337E-7,0.012314230614692017,197.0,5318611.711379937,2.0252796480887138E14
8,4976801.35560353,2.0093223088798578E-7,0.012193279479318888,13123.0,4976784.35560353,1.0666862559887611E14
9,4976801.35560353,2.0093223088798578E-7,0.012602132934441363,13123.0,4976784.35560353,1.5523754743252116E14
10,4942675.460506715,2.023195343636718E-7,0.013501345471547587,12920.0,4942658.460506715,9.340000272864352E13
11,4942675.460506715,2.023195343636718E-7,0.010703508189465553,12920.0,4942658.460506715,1.0675803398281031E14
12,4455862.201630116,2.244234068124362E-7,0.009611483387338686,162.0,4455837.201630116,9.33337063519912E13
13,4455862.201630116,2.244234068124362E-7,0.011552313572357528,162.0,4455837.201630116,2.476697490547702E14
14,3997434.886617429,2.501603598816403E-7,0.011991211108901566,13130.0,3997416.886617429,1.3366679397186969E14
15,3576851.868765606,2.7957538000300976E-7,0.012445509320320415,13126.0,3576827.868765606,1.8689218314242772E14
16,3576851.868765606,2.7957538000300976E-7,0.012568669781976965,13126.0,3576827.868765606,1.6006992204922884E14
17,3567696.816191248,2.802927970697826E-7,0.011854607965561937,140.0,3567669.816191248,2.4071497431276738E14
18,2537290.600709644,3.941210382442106E-7,0.015942735326106277,132.0,2537254.600709644,1.441462823546933E14
19,2537290.600709644,3.941210382442106E-7,0.01540868387134861,132.0,2537254.600709644,2.0666906134770262E14
20,2537290.600709644,3.941210382442106E-7,0.01680634133207168,132.0,2537254.600709644,2.7333481469189494E14
21,2537290.600709644,3.941210382442106E-7,0.015257544753763804,132.0,2537254.600709644,2.7333389967558634E14
22,2459063.5398848136,4.0665870447094553E-7,0.014124410819166563,130.0,2459029.5398848136,2.400027391715203E14
23,2456539.452236527,4.0707654502068643E-7,0.013817038268519781,129.0,2456459.452236527,2.533672047701246E14
24,2456539.452236527,4.0707654502068643E-7,0.012240125216137404,129.0,2456459.452236527,2.0666691978058812E14
25,2445146.176858054,4.089733368463211E-7,0.00979247742171142,128.0,2445042.176858054,1.2000975081133177E14
26,2444823.879320589,4.090272511779648E-7,0.009955322168368391,129.0,2444742.879320589,1.4010634346992069E14
27,2444823.879320589,4.090272511779648E-7,0.009913519864820869,129.0,2444742.879320589,1.534025710975126E14
28,2443536.336562286,4.092427748236741E-7,0.010152524066255018,129.0,2443415.336562286,1.466672824237499E14
29,2441671.7344176443,4.09555296213154E-7,0.009080457179827741,126.0,2441424.7344176443,1.733338277577949E14
